10:20:20.456 [Thread-43] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
10:20:20.607 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - UMSBIReportApplication.main() entered with args : [Ljava.lang.String;@6a03bcb1
10:20:20.902 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
10:20:20.905 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
10:20:20.905 [restartedMain] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/UMS-BI-REPORTING-SERVICE/default": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information
10:20:20.906 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - No active profile set, falling back to 1 default profile: "default"
10:20:21.156 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:20:21.163 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
10:20:21.203 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=df636d54-7bc8-363f-a68c-36bbf0629fe2
10:20:21.259 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9009 (http)
10:20:21.260 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9009"]
10:20:21.260 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:20:21.260 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.82]
10:20:21.318 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
